"Model","Method","DepVar","Core_X","Controls","Proxy","IV","term","beta","SE_HC3","t_value","p_value","N","first_stage_F","partial_R2"
"IV_search_Z_precovid_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_precovid_2Y_z","RateVulnerability_z",-1.81193132319638,1.7317994328864,-1.04627088379191,0.301717508301407,49,16.4157806379011,0.290978525020581
"IV_search_Z_verylong_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_verylong_2Y_z","RateVulnerability_z",-1.07606008186235,1.60703677816201,-0.669592691645212,0.506964472679667,49,9.74882268207619,0.195960872167304
"IV_search_Z_early_nonoverlap_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_early_nonoverlap_2Y_z","RateVulnerability_z",-0.419723808916578,1.57952941416692,-0.265727124263748,0.79181421048035,49,5.84716198427318,0.127535963649809
"IV_search_Z_termspread_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_termspread_z","RateVulnerability_z",-5.43472926316144,9.30999535421983,-0.583752091852345,0.562664659995391,49,1.27775002708709,0.0309549339837711
"IV_search_RV_late_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","RV_late_2Y_z","RateVulnerability_z",1.72773718439188,16.2097905963023,0.106586027384339,0.915650183718455,49,0.324060365524461,0.00803640215263443
"IV_search_RV_early_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","RV_early_2Y_z","RateVulnerability_z",3.89980184364161,27.8602402639678,0.139977322761473,0.889380382465112,49,0.104152443861009,0.00259704887185446
"IV_search_Z_recent_nonoverlap_2Y_z","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_recent_nonoverlap_2Y_z","RateVulnerability_z",5.89157806615259,51.5004747024515,0.114398519629027,0.909494198436124,49,0.0801187557604756,0.00199896502923811
