"IV_set","IV","coefficient","std_error","p_value","first_stage_F","first_stage_p","partial_R2","N"
"IV_one_presample_2Y","Z_presample_2Y_z",0.285863212495007,0.118218571521452,0.0202484836941114,5.84716198427318,0.0202484836941116,0.127535963649809,49
"IV_two_presample_2Y_10Y","Z_presample_2Y_z",0.0971832977661213,0.256938186687678,0.707306266781375,3.24336097380085,0.0497747808300386,0.142606933844871,49
"IV_two_presample_2Y_10Y","Z_presample_10Y_z",0.217434691722981,0.262612812881957,0.412727403899912,3.24336097380085,0.0497747808300386,0.142606933844871,49
"IV_simple_presample_2Y","Z_presample_simple_2Y_z",0.424424268306843,0.196179314207337,0.0365371711932725,4.68051879148451,0.0365371711932723,0.104755247210257,49
