"Model","Method","DepVar","Core_X","Controls","Proxy","IV","term","beta","SE_HC3","t_value","p_value","N","target_endogenous_variable"
"early_instruments_late","2SLS_manual_HC3","CAR","RV_late_2Y_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","RV_early_2Y_z","RV_late_2Y_z",1.99930705850074,8.402551880067,0.237940459879052,0.813141931451724,49,"RV_late_2Y_z"
"late_instruments_early","2SLS_manual_HC3","CAR","RV_early_2Y_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","RV_late_2Y_z","RV_early_2Y_z",2.09411052007049,16.2998980144277,0.128473841874158,0.898417787257059,49,"RV_early_2Y_z"
