"model","variable","coefficient","std_error","t_value","p_value"
"M3_full_interactions","(Intercept)",-2.73645854347147,0.442670440542779,-6.18170605680418,5.00803529662482e-07
"M3_full_interactions","RateVulnerability_z",-1.29789032194155,0.441010583841222,-2.94299132378381,0.00582027922359621
"M3_full_interactions","MktBeta_z",-0.140614317799726,0.664919593058531,-0.211475672047684,0.833778645619579
"M3_full_interactions","SMBBeta_z",1.65439383262011,0.479031578365522,3.45362165530918,0.00150013203782821
"M3_full_interactions","HMLBeta_z",0.46504855682511,0.569375798200957,0.816769097482739,0.419746746877805
"M3_full_interactions","RMWBeta_z",-0.973650317291341,0.773172275715519,-1.25929284827278,0.216501540306327
"M3_full_interactions","CMABeta_z",-0.304243127244743,0.462928059391928,-0.65721470339123,0.515467526085719
"M3_full_interactions","HistVol_z",-1.33044304763487,0.824563143658093,-1.61351263134621,0.115877603351505
"M3_full_interactions","PreMomentum_z",1.7207759803346,0.518992847322979,3.31560635028122,0.00218243962923873
"M3_full_interactions","TechGrowth",-0.792626903055126,1.10854751900001,-0.715013916381441,0.479481711612665
"M3_full_interactions","Finance",1.08915108633358,1.81729040916535,0.599326932470747,0.552927933609665
"M3_full_interactions","Defensive",0.444134405401077,1.17384864762221,0.378357470786998,0.70751725829221
"M3_full_interactions","RateVulnerability_z:TechGrowth",-0.00748582814621175,1.34333110785076,-0.00557258601581002,0.995586311831665
"M3_full_interactions","RateVulnerability_z:Finance",3.39507756286191,2.3517815450739,1.4436194424492,0.157997705470712
"M3_full_interactions","RateVulnerability_z:Defensive",3.15417916456772,1.37595460173688,2.29235700115845,0.0281987661462348
