"model","variable","coefficient","std_error","t_value","p_value"
"M0_simple","(Intercept)",-2.73142857142857,0.425637883470815,-6.41725907749436,6.27011773995288e-08
"M0_simple","RateVulnerability_z",0.0162012935306074,0.430048756548561,0.0376731551571827,0.970107843433955
"M1_basic_controls","(Intercept)",-2.73142857142857,0.351679106916394,-7.76682071158104,8.74181225160765e-10
"M1_basic_controls","RateVulnerability_z",-0.267665222148688,0.425162077118536,-0.629560434841094,0.532237797307232
"M1_basic_controls","MktBeta_z",0.587253067795581,0.540901348518029,1.08569348071427,0.283527224545532
"M1_basic_controls","HistVol_z",-0.667175675653442,0.476411386803498,-1.40041924717603,0.168400496329155
"M1_basic_controls","PreMomentum_z",1.81189774087485,0.36996059918701,4.89754245413297,1.35145782910709e-05
"M2_full_controls","(Intercept)",-2.73142857142857,0.304137078190012,-8.98091277684363,3.89783648911541e-11
"M2_full_controls","RateVulnerability_z",-1.09788237897484,0.423774850333839,-2.59072094087216,0.0133007817551305
"M2_full_controls","MktBeta_z",-0.343148665745968,0.595685417289105,-0.576056851127223,0.567804037563992
"M2_full_controls","SMBBeta_z",1.76391754245962,0.478889765371095,3.68334775560038,0.000680914356792902
"M2_full_controls","HMLBeta_z",0.428693079664188,0.457504805023786,0.937024212547668,0.3543694955544
"M2_full_controls","RMWBeta_z",-1.05253761599566,0.752828628420814,-1.398110507837,0.169784740190633
"M2_full_controls","CMABeta_z",0.0357517556655529,0.408758293697336,0.08746429422182,0.930738872065997
"M2_full_controls","HistVol_z",-1.41469227705265,0.789537840908922,-1.79179794020264,0.0807326903908587
"M2_full_controls","PreMomentum_z",1.4273714607376,0.505529489518383,2.82351769843824,0.00736873985538916
"M3_interactions_exploratory","(Intercept)",-2.4833513215903,0.47425633310131,-5.23630608230553,6.78286979890649e-06
"M3_interactions_exploratory","RateVulnerability_z",-0.804370607978052,0.450082752696867,-1.78716159008163,0.0821059665417992
"M3_interactions_exploratory","TechGrowth",-1.25296264346225,1.14724971441759,-1.09214465492225,0.281830088254281
"M3_interactions_exploratory","Finance",1.1825373364041,2.00293967326916,0.590400875366347,0.558511018750069
"M3_interactions_exploratory","Defensive",0.0728823726578937,1.23799421869861,0.0588713352268383,0.953371407649468
"M3_interactions_exploratory","MktBeta_z",0.604365353392846,0.590192006126484,1.02401480724787,0.312477019402412
"M3_interactions_exploratory","HMLBeta_z",0.504989815790323,0.559809300003996,0.902074716848609,0.372852261277749
"M3_interactions_exploratory","HistVol_z",-0.731789371516841,0.464059198687454,-1.57693107600633,0.123324099672944
"M3_interactions_exploratory","PreMomentum_z",1.63070191347164,0.467560449201481,3.48768146719129,0.00127444767660665
"M3_interactions_exploratory","RateVulnerability_z:TechGrowth",1.52141261013037,1.36535878068194,1.11429510811106,0.272338733330215
"M3_interactions_exploratory","RateVulnerability_z:Finance",3.8966203823368,2.53787523724369,1.53538689575962,0.13319679358783
"M3_interactions_exploratory","RateVulnerability_z:Defensive",2.79322986505049,1.5422452331798,1.81114507923712,0.0782432187938286
"M3_full_interactions","(Intercept)",-2.73645854347147,0.442670440542779,-6.18170605680418,5.00803529662482e-07
"M3_full_interactions","RateVulnerability_z",-1.29789032194155,0.441010583841222,-2.94299132378381,0.00582027922359621
"M3_full_interactions","MktBeta_z",-0.140614317799726,0.664919593058531,-0.211475672047684,0.833778645619579
"M3_full_interactions","SMBBeta_z",1.65439383262011,0.479031578365522,3.45362165530918,0.00150013203782821
"M3_full_interactions","HMLBeta_z",0.46504855682511,0.569375798200957,0.816769097482739,0.419746746877805
"M3_full_interactions","RMWBeta_z",-0.973650317291341,0.773172275715519,-1.25929284827278,0.216501540306327
"M3_full_interactions","CMABeta_z",-0.304243127244743,0.462928059391928,-0.65721470339123,0.515467526085719
"M3_full_interactions","HistVol_z",-1.33044304763487,0.824563143658093,-1.61351263134621,0.115877603351505
"M3_full_interactions","PreMomentum_z",1.7207759803346,0.518992847322979,3.31560635028122,0.00218243962923873
"M3_full_interactions","TechGrowth",-0.792626903055126,1.10854751900001,-0.715013916381441,0.479481711612665
"M3_full_interactions","Finance",1.08915108633358,1.81729040916535,0.599326932470747,0.552927933609665
"M3_full_interactions","Defensive",0.444134405401077,1.17384864762221,0.378357470786998,0.70751725829221
"M3_full_interactions","RateVulnerability_z:TechGrowth",-0.00748582814621175,1.34333110785076,-0.00557258601581002,0.995586311831665
"M3_full_interactions","RateVulnerability_z:Finance",3.39507756286191,2.3517815450739,1.4436194424492,0.157997705470712
"M3_full_interactions","RateVulnerability_z:Defensive",3.15417916456772,1.37595460173688,2.29235700115845,0.0281987661462348
