"model","variable","coefficient","robust_std_error","t_value","p_value"
"M0_simple","(Intercept)",-2.73142857142857,0.425637883470815,-6.41725907749436,6.27011773995285e-08
"M0_simple","RateVulnerability_z",0.0162012935306074,0.587673455191252,0.0275685304270462,0.978123008647411
"M1_basic_controls","(Intercept)",-2.73142857142857,0.351679106916394,-7.76682071158104,8.74181225160765e-10
"M1_basic_controls","RateVulnerability_z",-0.267665222148688,0.389434562479785,-0.687317582816195,0.495489726143167
"M1_basic_controls","MktBeta_z",0.587253067795581,0.580345609954939,1.01190231772612,0.317117179205455
"M1_basic_controls","HistVol_z",-0.667175675653442,0.607598300536893,-1.09805388702356,0.278153622505288
"M1_basic_controls","PreMomentum_z",1.81189774087485,0.37530850253306,4.82775564274687,1.69937887948668e-05
"M2_full_controls","(Intercept)",-2.73142857142857,0.304137078190012,-8.98091277684364,3.89783648911536e-11
"M2_full_controls","RateVulnerability_z",-1.09788237897484,0.402535753242551,-2.72741581370364,0.00943323521411439
"M2_full_controls","MktBeta_z",-0.343148665745968,0.634189249795551,-0.541082438493859,0.591451641609454
"M2_full_controls","SMBBeta_z",1.76391754245962,0.51347963906795,3.43522392759607,0.00139276269161004
"M2_full_controls","HMLBeta_z",0.428693079664188,0.435486371676093,0.984400678290439,0.330835746191072
"M2_full_controls","RMWBeta_z",-1.05253761599566,0.680890806764862,-1.54582438995852,0.130022936498561
"M2_full_controls","CMABeta_z",0.0357517556655529,0.45356275806826,0.0788242752068554,0.937565414584133
"M2_full_controls","HistVol_z",-1.41469227705265,0.899896264619025,-1.57206150605766,0.123813834735799
"M2_full_controls","PreMomentum_z",1.4273714607376,0.62548277566421,2.28203160226411,0.0278826589856398
"M3_interactions_exploratory","(Intercept)",-2.4833513215903,0.486046344319289,-5.10928916679386,1.0058582363691e-05
"M3_interactions_exploratory","RateVulnerability_z",-0.804370607978052,0.411601879829871,-1.95424425250566,0.0582617804852675
"M3_interactions_exploratory","TechGrowth",-1.25296264346225,0.791611746706537,-1.58279945778361,0.121978690957394
"M3_interactions_exploratory","Finance",1.1825373364041,0.768364963997146,1.53903078851015,0.132306103253234
"M3_interactions_exploratory","Defensive",0.0728823726578937,0.872934045180249,0.08349127068683,0.933911005569626
"M3_interactions_exploratory","MktBeta_z",0.604365353392846,0.650461703367478,0.929132876330784,0.358842582617995
"M3_interactions_exploratory","HMLBeta_z",0.504989815790323,0.455662038663558,1.10825518244057,0.274903951583894
"M3_interactions_exploratory","HistVol_z",-0.731789371516841,0.583821413261979,-1.25344729551478,0.217905849469414
"M3_interactions_exploratory","PreMomentum_z",1.63070191347164,0.51169888337789,3.18683891336023,0.00292116514036619
"M3_interactions_exploratory","RateVulnerability_z:TechGrowth",1.52141261013037,0.841950755533012,1.8070090205777,0.0788981710781233
"M3_interactions_exploratory","RateVulnerability_z:Finance",3.8966203823368,0.891003696554474,4.37329317196449,9.58211107228608e-05
"M3_interactions_exploratory","RateVulnerability_z:Defensive",2.79322986505049,0.638322978710393,4.37588800374015,9.50743045279351e-05
"M3_full_interactions","(Intercept)",-2.73645854347147,0.476106097617619,-5.74758138399068,1.83250980839067e-06
"M3_full_interactions","RateVulnerability_z",-1.29789032194155,0.400541956574266,-3.24033550203349,0.00267091456681527
"M3_full_interactions","MktBeta_z",-0.140614317799726,0.797516193842967,-0.176315313576458,0.861092261207135
"M3_full_interactions","SMBBeta_z",1.65439383262011,0.567370775103835,2.91589539894319,0.00623831290660278
"M3_full_interactions","HMLBeta_z",0.46504855682511,0.524144324614096,0.887252870986449,0.38117623174321
"M3_full_interactions","RMWBeta_z",-0.973650317291341,0.79554140915797,-1.22388389351333,0.229409876165269
"M3_full_interactions","CMABeta_z",-0.304243127244743,0.61956771781382,-0.491057100777107,0.626540910658168
"M3_full_interactions","HistVol_z",-1.33044304763487,1.00481240912293,-1.32407107590976,0.194312464858122
"M3_full_interactions","PreMomentum_z",1.7207759803346,0.701097609798987,2.45440286243162,0.0193869336533736
"M3_full_interactions","TechGrowth",-0.792626903055126,1.07946105625821,-0.734280221097228,0.467812025065413
"M3_full_interactions","Finance",1.08915108633358,1.36062456744359,0.80047877452333,0.428991607971337
"M3_full_interactions","Defensive",0.444134405401077,1.0591511383288,0.419330527371063,0.677612265305363
"M3_full_interactions","RateVulnerability_z:TechGrowth",-0.00748582814621175,1.04055819199292,-0.00719405046619697,0.994302074016439
"M3_full_interactions","RateVulnerability_z:Finance",3.39507756286191,1.59827477233603,2.12421394720489,0.0410058627801016
"M3_full_interactions","RateVulnerability_z:Defensive",3.15417916456772,0.805821047681493,3.91424271386671,0.00041376429114734
