"model","N","R_squared","Adj_R_squared","Residual_SE","F_statistic","F_p_value"
"M0_simple",49,3.01962502758958e-05,-0.0212457570209947,2.9794651842957,0.00141926661949715,0.970107843433955
"M1_basic_controls",49,0.360921377962551,0.302823321413692,2.46175374841476,6.21227971126753,0.000471568766411172
"M2_full_controls",49,0.565482564138578,0.478579076966294,2.12895954733009,6.50701810178826,2.06036425346764e-05
"M3_interactions_exploratory",49,0.538592844116603,0.401417743718837,2.28105155914238,3.92631638362097,0.000825648135405951
"M3_full_interactions",49,0.666910004196123,0.529755300041586,2.02178577728004,4.86246540581422,8.08819602127463e-05
