"model","variable","coefficient","robust_std_error","t_value","p_value"
"M3_full_interactions","(Intercept)",-2.73645854347147,0.476106097617619,-5.74758138399068,1.83250980839067e-06
"M3_full_interactions","RateVulnerability_z",-1.29789032194155,0.400541956574266,-3.24033550203349,0.00267091456681527
"M3_full_interactions","MktBeta_z",-0.140614317799726,0.797516193842967,-0.176315313576458,0.861092261207135
"M3_full_interactions","SMBBeta_z",1.65439383262011,0.567370775103835,2.91589539894319,0.00623831290660278
"M3_full_interactions","HMLBeta_z",0.46504855682511,0.524144324614096,0.887252870986449,0.38117623174321
"M3_full_interactions","RMWBeta_z",-0.973650317291341,0.79554140915797,-1.22388389351333,0.229409876165269
"M3_full_interactions","CMABeta_z",-0.304243127244743,0.61956771781382,-0.491057100777107,0.626540910658168
"M3_full_interactions","HistVol_z",-1.33044304763487,1.00481240912293,-1.32407107590976,0.194312464858122
"M3_full_interactions","PreMomentum_z",1.7207759803346,0.701097609798987,2.45440286243162,0.0193869336533736
"M3_full_interactions","TechGrowth",-0.792626903055126,1.07946105625821,-0.734280221097228,0.467812025065413
"M3_full_interactions","Finance",1.08915108633358,1.36062456744359,0.80047877452333,0.428991607971337
"M3_full_interactions","Defensive",0.444134405401077,1.0591511383288,0.419330527371063,0.677612265305363
"M3_full_interactions","RateVulnerability_z:TechGrowth",-0.00748582814621175,1.04055819199292,-0.00719405046619697,0.994302074016439
"M3_full_interactions","RateVulnerability_z:Finance",3.39507756286191,1.59827477233603,2.12421394720489,0.0410058627801016
"M3_full_interactions","RateVulnerability_z:Defensive",3.15417916456772,0.805821047681493,3.91424271386671,0.00041376429114734
