"method","term","estimate","standard_error","statistic","p_value"
"systemfit_3SLS","demand_(Intercept)",15.8086792809581,1.38178546086981,11.440762497969,2.61576420833015e-30
"systemfit_3SLS","demand_log_price",0.622781318935865,0.369309160766541,1.68634137762306,0.091730065633579
"systemfit_3SLS","demand_mortgage_rate",0.00659570537357566,0.0167880262237448,0.392881526730447,0.694406986285758
"systemfit_3SLS","demand_log_income",-1.74409437980826,0.550301403115738,-3.16934387216426,0.00152783517014513
"systemfit_3SLS","demand_unrate",-0.105192696612216,0.0146698835735083,-7.17065654169055,7.46389440591502e-13
"systemfit_3SLS","supply_(Intercept)",1.93577196576905,0.91236745636868,2.12170211931236,0.033862760551015
"systemfit_3SLS","supply_log_price",-0.0151478558662624,0.146632028893193,-0.103305232701214,0.917720722746544
"systemfit_3SLS","supply_log_permit",0.950830112527381,0.0248227402108874,38.3048005356935,5.09875746508166e-321
"systemfit_3SLS","supply_months_supply",0.0232691502816629,0.00392333843344604,5.93095667793935,3.0117467731302e-09
"systemfit_3SLS","supply_log_construction_cost",-0.417372398703865,0.15800837729376,-2.64145740784308,0.00825501858968851
