"equation","method","term","estimate","standard_error","statistic","p_value","N"
"demand","OLS_regime_interactions_HC3","(Intercept)",17.417344474014,3.95648189305243,4.40223030076259,1.50797548236575e-05,300
"demand","OLS_regime_interactions_HC3","log_price",0.591064561607113,0.258421987551573,2.28720693315291,0.0229039729174767,300
"demand","OLS_regime_interactions_HC3","high_rate",41.1827476314703,0.0286216553778258,1438.86672828071,0,300
"demand","OLS_regime_interactions_HC3","mortgage_rate",0.0878300904841108,0.0411489065707933,2.13444530617129,0.0336447946387626,300
"demand","OLS_regime_interactions_HC3","log_income",-1.91734892736114,0.484614535261851,-3.95644122874925,9.57137169630817e-05,300
"demand","OLS_regime_interactions_HC3","unrate",-0.109431181863686,0.0194469821325123,-5.62715495484174,4.31783847747391e-08,300
"demand","OLS_regime_interactions_HC3","gfc",-0.330252739542177,0.0458520892581664,-7.20256688158125,5.11027463645951e-12,300
"demand","OLS_regime_interactions_HC3","covid",0.896489659747136,0.103250443323304,8.68267128829648,2.85594648747872e-16,300
"demand","OLS_regime_interactions_HC3","log_price:high_rate",-3.18248662248617,0.0219028252374418,-145.300279209911,6.37723903178688e-273,300
"demand","OLS_regime_interactions_HC3","high_rate:mortgage_rate",0.000795115374175688,0.0626823392973217,0.0126848388731029,0.989887956277625,300
