"equation","method","term","estimate","standard_error","statistic","p_value","N"
"dynamic_lagY_demand","2SLS_manual_HC3","(Intercept)",-0.177449684048848,0.543701387416502,-0.326373425111223,0.744374840206222,299
"dynamic_lagY_demand","2SLS_manual_HC3","log_price",-0.153317675306406,0.104818008274747,-1.46270357384137,0.144620323141497,299
"dynamic_lagY_demand","2SLS_manual_HC3","mortgage_rate",-0.00175571222932218,0.00423319798569879,-0.414748432568849,0.678629576670016,299
"dynamic_lagY_demand","2SLS_manual_HC3","log_income",0.231764295122572,0.164132100277072,1.41205952236844,0.158993594452306,299
"dynamic_lagY_demand","2SLS_manual_HC3","unrate",-0.00320993749612805,0.00538943625967559,-0.595598007187726,0.55190357569498,299
"dynamic_lagY_demand","2SLS_manual_HC3","L1_log_sales",0.987444280782128,0.0174294111279833,56.653909505684,6.74021164585569e-160,299
"dynamic_lagY_supply","2SLS_manual_HC3","(Intercept)",0.743865807535612,0.586716880883063,1.26784456314948,0.205860041706968,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_price",-0.075544491837307,0.0931753587346151,-0.810777579643939,0.418151481033114,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_permit",0.162020319165065,0.0607510889195081,2.6669533344453,0.00807969823070134,299
"dynamic_lagY_supply","2SLS_manual_HC3","months_supply",-0.00947398904885027,0.00293058221803913,-3.23280097399533,0.00136575481716219,299
"dynamic_lagY_supply","2SLS_manual_HC3","log_construction_cost",0.0410509582015201,0.100534871301858,0.408325565745877,0.683332915867068,299
"dynamic_lagY_supply","2SLS_manual_HC3","L1_log_sales",0.826476306508147,0.0499122161946646,16.558597664443,6.30385984807799e-44,299
