"method","term","estimate","standard_error","statistic","p_value"
"systemfit_2SLS","demand_(Intercept)",13.0284313713739,1.51178812400689,8.6178950373303,6.81961502256389e-18
"systemfit_2SLS","demand_log_price",-0.114267119450512,0.403113099764061,-0.283461687346284,0.776822946799252
"systemfit_2SLS","demand_mortgage_rate",0.0315932926968983,0.0176423715001556,1.79076223945402,0.0733314571862208
"systemfit_2SLS","demand_log_income",-0.488634013995611,0.613840123437845,-0.796028143711085,0.42601567746488
"systemfit_2SLS","demand_unrate",-0.11588279547367,0.0155169423499848,-7.46814629196477,8.13323958721033e-14
"systemfit_2SLS","supply_(Intercept)",1.20357590173159,0.951761044584091,1.26457781454749,0.206022710080635
"systemfit_2SLS","supply_log_price",0.00896889471401128,0.152967828636474,0.0586325555769358,0.95324477967846
"systemfit_2SLS","supply_log_permit",1.03589422651388,0.0254911767551741,40.63736391862,0
"systemfit_2SLS","supply_months_supply",0.0167724147928622,0.00444404025227449,3.77413656059437,0.000160562795105531
"systemfit_2SLS","supply_log_construction_cost",-0.443325871391317,0.166587173247225,-2.66122452737341,0.00778570200873112
"systemfit_3SLS","demand_(Intercept)",15.8086792809581,1.38178546086981,11.440762497969,2.61576420833015e-30
"systemfit_3SLS","demand_log_price",0.622781318935865,0.369309160766541,1.68634137762306,0.091730065633579
"systemfit_3SLS","demand_mortgage_rate",0.00659570537357566,0.0167880262237448,0.392881526730447,0.694406986285758
"systemfit_3SLS","demand_log_income",-1.74409437980826,0.550301403115738,-3.16934387216426,0.00152783517014513
"systemfit_3SLS","demand_unrate",-0.105192696612216,0.0146698835735083,-7.17065654169055,7.46389440591502e-13
"systemfit_3SLS","supply_(Intercept)",1.93577196576905,0.91236745636868,2.12170211931236,0.033862760551015
"systemfit_3SLS","supply_log_price",-0.0151478558662624,0.146632028893193,-0.103305232701214,0.917720722746544
"systemfit_3SLS","supply_log_permit",0.950830112527381,0.0248227402108874,38.3048005356935,5.09875746508166e-321
"systemfit_3SLS","supply_months_supply",0.0232691502816629,0.00392333843344604,5.93095667793935,3.0117467731302e-09
"systemfit_3SLS","supply_log_construction_cost",-0.417372398703865,0.15800837729376,-2.64145740784308,0.00825501858968851
