"equation","method","term","estimate","standard_error","statistic","p_value","N"
"post_gfc_pre_covid_demand","2SLS_manual_HC3","(Intercept)",0.00709898215013315,0.0100742891233602,0.704663332886893,0.482444423146161,120
"post_gfc_pre_covid_demand","2SLS_manual_HC3","log_price",1.10772890053322,0.377956640663633,2.93083592495748,0.00407878609249547,120
"post_gfc_pre_covid_demand","2SLS_manual_HC3","mortgage_rate",-0.0181322386832697,0.0332537044035264,-0.54526973786857,0.58662401523213,120
"post_gfc_pre_covid_demand","2SLS_manual_HC3","log_income",-0.75410567946832,0.513959820680132,-1.46724636659418,0.145038581639756,120
"post_gfc_pre_covid_demand","2SLS_manual_HC3","unrate",-0.0776058218277029,0.0117900312957591,-6.5823253459571,1.4401316765194e-09,120
"post_gfc_pre_covid_supply","2SLS_manual_HC3","(Intercept)",-24.1182975575004,5.0082129679395,-4.81574919275514,4.50697932770019e-06,120
"post_gfc_pre_covid_supply","2SLS_manual_HC3","log_price",2.5777766154744,0.56983176991841,4.52375025675296,1.48737401964212e-05,120
"post_gfc_pre_covid_supply","2SLS_manual_HC3","log_permit",-0.426707146995645,0.289638526130798,-1.47324029263617,0.143418143472179,120
"post_gfc_pre_covid_supply","2SLS_manual_HC3","months_supply",-0.0382209625710104,0.0182773738616666,-2.09116270533655,0.038715519760075,120
"post_gfc_pre_covid_supply","2SLS_manual_HC3","log_construction_cost",0.210033219847776,0.489389631427402,0.429173824617355,0.668599675136722,120
