"industry","CAR","RateVulnerability_z","ols_resid","hat","cooks_d","dfbetas_rate_vulnerability"
"Gold",-10.3,3.0473700090286,-3.67246080101762,0.489410000501445,0.620676410978852,-0.906920388957937
"FabPr",4.75,0.806001585899569,3.96422235690225,0.291679669599098,0.223967720366769,-0.144034538988443
"Autos",-4.62,-2.57848176453598,2.48519301178093,0.39094444503384,0.159567392616838,-0.368192673956792
"Fun",-5.83,-0.073819113984075,-2.55116703301859,0.329707921136066,0.117085109595351,-0.199832763226894
"Util",-0.35,1.2894910293123,4.25387830320263,0.169624565349172,0.109127085503699,0.337328906466149
"Coal",0.06,-0.0621014397911386,-0.766920871971028,0.662121918948801,0.0836260749918005,0.153603246467309
"Rubbr",-10.62,0.469620629344547,-3.44399337046806,0.172741468564175,0.0733941395544333,-0.338318650898726
"Banks",-3.11,-1.29025015413075,-2.75943826892827,0.22289186941892,0.0688962142449726,0.176195155909622
"Aero",1.39,1.01159368374971,3.21684959636806,0.136015232170519,0.0462231522084051,0.304548049133174
"Ships",-1.68,-0.372323961330114,-3.00399553104502,0.116604850952144,0.033054290085171,0.22466885989219
"Boxes",0.13,-1.12641531935491,2.76539907879303,0.130699017193401,0.0324242754379756,-0.274136315789427
"Txtls",-4.08,0.0613655724328756,-1.46340790595033,0.290377708731107,0.0302734725993636,0.0566841358394282
"Chips",-7.07,-1.59837493351786,-1.30683675349218,0.318684334133941,0.0287428161374518,0.0598855749568787
"Oil",0.78,0.366044982005989,-1.16933862346018,0.323942931248783,0.0237577360352853,-0.000680008147150568
"Mines",0.61,-0.496994516302189,2.22106532794432,0.141372742969425,0.0231900496966073,0.0210068491783324
"Guns",-0.44,2.08304628096366,1.522190637331,0.231471938258509,0.0222607428659574,0.161231228280718
"Books",0.84,0.683658929820759,2.84755981775632,0.0912430622256548,0.021962043983912,0.0211502299011287
"Hlth",-0.76,0.40418049639834,1.9384991303402,0.158506186430672,0.0206204555204359,-0.0543858219213818
"Agric",2.18,-0.0182208908983207,2.16895681306297,0.118138761924285,0.0175192854484248,-0.0535930275216459
"LabEq",-3.68,-0.242268539541113,2.38170937543224,0.0968325637632649,0.016507643958377,0.100483124786591
"BldMt",-4.45,0.938184656288333,-1.68349292282184,0.161761340778318,0.0159950140835945,-0.195880524685691
"BusSv",-6.4,-0.172710864086199,-2.47759299175951,0.080071727706618,0.0142381599108859,-0.0362797103843403
"Fin",-0.35,-0.458057537148311,1.84122739122122,0.125798541438676,0.0136801253921972,0.0699547912933754
"Smoke",-3.53,0.429749621680595,-1.44724124934611,0.17328618542052,0.0130184142934753,0.0814970723122443
"MedEq",-4.67,-0.681962582564193,-1.90682653470756,0.104137307107071,0.0115656084603873,0.147397437597981
"Clths",-2.08,-1.72754768951954,1.47711286921514,0.134945275390965,0.00964540692569714,-0.15449295750487
"ElcEq",-5.06,0.561267120997224,-1.55764142026651,0.0995519646410827,0.00730281286130664,-0.0825455168605125
"Food",-2.05,-0.23389562964146,-1.2796617634209,0.120549919231757,0.00625687668751831,0.12940340060549
"Telcm",-3.59,0.513567308239231,-1.39035110964303,0.105577699947689,0.00625401050689283,0.0301862434197231
"Soda",-1.96,-0.1152180441423,1.40509426060157,0.102030745833384,0.00612409217434419,-0.0423420168934046
"Insur",-1.83,-0.833269386977306,-1.33692684656658,0.108340305824382,0.00597076181088525,0.102518382055928
"Toys",-4.82,-0.895449837999189,-0.453588747322074,0.395359862116605,0.00545438569748353,0.0771852941424244
"Hshld",-3.48,0.106778840903235,1.27065129615719,0.106848772451258,0.00530145375630844,-0.00828531336147723
"Drugs",-1.28,0.41809673148131,0.819088404980092,0.163573558934557,0.0038454026769926,-0.0364534566467347
"Meals",-2.79,-0.126286635805886,-1.37191473749117,0.0679125889121924,0.00360673236066169,0.00891942289172272
"Beer",-2.03,0.339647234861966,0.838086178994534,0.1366122206801,0.00315556976105883,-0.000101758556338038
"Whlsl",-1.79,-0.297878146497582,-1.06539239290692,0.0863274221678991,0.00287746100076181,0.040300759088762
"Cnstr",-3.31,2.66266961716268,0.286411790318633,0.443091726902329,0.00287296779597687,0.112677494666158
"Softw",-8.49,-0.6536027832761,-0.597940650150069,0.192210192631426,0.00258177568522139,-0.036184076773231
"Mach",-1.46,-0.6816337616604,-0.966281416759646,0.0724754868408077,0.00192828079290381,0.0280973377639919
"Other",-2.26,0.00524261030635954,-0.836069503401945,0.0880344310422263,0.00181385728764748,-0.00456118638614698
"Steel",-3.49,0.319629288864134,0.315036848874251,0.27951136261108,0.00131005816008338,0.0556034409482348
"Hardw",-3.36,-1.16343227393081,-0.507248375330476,0.125211093756289,0.0010320489033524,0.0281724400473554
"Chems",-1.24,0.152083610336848,0.675152540530619,0.0689861965809684,0.000889357651439201,0.016592639645372
"Trans",-1.89,-0.76765060851075,0.536959225884187,0.081342647959797,0.000681265638979081,-0.0304484315524282
"Paper",-2.58,-0.214892590365273,-0.282953844226224,0.134810384463198,0.000353471676674999,0.0221565213473815
"Rtail",-6.58,0.241947785242405,0.0939577508607238,0.178230623617454,5.71176481295498e-05,0.0133203475212353
"RlEst",-2.93,0.00375792299795475,0.077929979070227,0.121162728125147,2.33552166253722e-05,0.00136357460118249
"PerSv",-2.29,-0.032256542806852,-0.103548320150506,0.0592364983329795,1.75928923549398e-05,-0.000349114618676774
