"model","se_type","term","estimate","std_error","t_value","p_value","conf_low_95","conf_high_95","excluded_industries"
"M2_full_sample_HC3","HC3","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,-2.18131170673285,-0.0144530512168328,"None"
"M2_excluding_Gold_HC3","HC3","RateVulnerability_z",-0.738126175545336,0.454797152087085,-1.62297888664879,0.112650920161472,-1.65804024553046,0.181787894439788,"Gold"
"M2_excluding_Cooks_top3_HC3","HC3","RateVulnerability_z",-0.563466406757496,0.460248450511188,-1.22426573328311,0.228590359785296,-1.49601834830409,0.369085534789099,"Gold; FabPr; Autos"
