"model","se_type","term","estimate","std_error","t_value","p_value","conf_low_95","conf_high_95"
"OLS_M2","const","RateVulnerability_z",-1.09788237897484,0.423774850333839,-2.59072094087216,0.0133007817551305,-1.95436330001529,-0.241401457934394
"OLS_M2","HC0","RateVulnerability_z",-1.09788237897484,0.363694234256563,-3.01869613418274,0.00440418388404367,-1.83293584542706,-0.362828912522616
"OLS_M2","HC1","RateVulnerability_z",-1.09788237897484,0.402535753242551,-2.72741581370364,0.00943323521411436,-1.91143748357176,-0.284327274377922
"OLS_M2","HC2","RateVulnerability_z",-1.09788237897484,0.435054443778083,-2.52355169491122,0.015692718183689,-1.97716020873811,-0.218604549211572
"OLS_M2","HC3","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,-2.18131170673285,-0.0144530512168328
