"variable","n","mean","sd","min","max"
"CAR",49,-2.73142857142857,2.94831025052204,-10.62,4.75
"RateVulnerability",49,1.56653139945237,1.58126120604895,-2.44937595050687,6.62014263167796
"RateVulnerability_z",49,-2.71891352969426e-16,1,-2.53968625461549,3.19593702349334
