"variable","coefficient","robust_std_error","t_value","p_value"
"(Intercept)",-2.73142857142857,0.392934104591641,-6.95136548217729,9.68672529445787e-09
"RateVulnerability_z",-1.13343894208167,0.400069788795352,-2.83310305808035,0.00677012909529493
