"variable","coefficient","std_error","t_value","p_value"
"(Intercept)",-2.73142857142857,0.392934104591641,-6.95136548217729,9.68672529445787e-09
"RateVulnerability_z",-1.13343894208167,0.397006069354595,-2.85496628281851,0.00638618168332163
