observation_date,WPUSI012011
2024-02-01,337.766
2024-03-01,330.963
2024-04-01,330.135
2024-05-01,329.435
2024-06-01,328.304
2024-07-01,325.556
2024-08-01,324.650
2024-09-01,324.100
2024-10-01,325.428
2024-11-01,326.929
2024-12-01,324.621
