"equation","method","key_term","estimate","robust_se","statistic","p_value","N","note","sign","conclusion"
"return_equation","OLS_HC3","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,49,"Baseline single-equation estimate.","negative","Statistically significant at 5%."
"return_equation","2SLS_manual_HC3_primary_Z_precovid","RateVulnerability_z",-1.8119313231964,1.73179943288642,-1.04627088379191,0.301717508301408,49,"Primary IV uses the strongest predetermined historical exposure.","negative","Not statistically significant at 5%."
"return_equation","2SLS_manual_HC3_system_IV_set","RateVulnerability_z",-1.66366860305822,1.36131857974753,-1.22210085707253,0.228822512242232,49,"Uses the SEM historical IV set.","negative","Not statistically significant at 5%."
"vulnerability_equation_exploratory","OLS_HC3","CAR_3day",0.0470192240829275,0.0528705756647672,0.889326879681792,0.378663993260994,49,"Reverse equation is exploratory because CAR occurs after the historical RV measure.","positive","Exploratory only; reverse structure is not credible enough for main identification."
"vulnerability_equation_exploratory","2SLS_manual_HC3","CAR_3day",0.166401691826138,0.0869554166408015,1.91364377579279,0.0621851864244031,49,"Technically estimable, but exclusion of factor betas from the RV equation is economically contestable.","positive","Exploratory only; reverse structure is not credible enough for main identification."
"return_equation","systemfit_2SLS","RateVulnerability_z",-1.66366860305822,0.754059188145823,-2.2062838424515,0.0273641319761034,49,"Systemfit conventional SE; not HC3.","negative","Statistically significant at 5%."
"vulnerability_equation_exploratory","systemfit_2SLS","CAR_3day",0.166401691826138,0.0608632275427719,2.73402674396783,0.00625649625046272,49,"Systemfit conventional SE; not HC3.","positive","Exploratory only; reverse structure is not credible enough for main identification."
"return_equation","systemfit_3SLS","RateVulnerability_z",-1.67390048785344,0.750512127516241,-2.23034435618393,0.0257245905893984,49,"Systemfit conventional SE; not HC3.","negative","Statistically significant at 5%."
"vulnerability_equation_exploratory","systemfit_3SLS","CAR_3day",0.165010770129977,0.0608397663308662,2.71221899887971,0.00668344208126779,49,"Systemfit conventional SE; not HC3.","positive","Exploratory only; reverse structure is not credible enough for main identification."
