"industry","CAR_3day","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","Z_precovid_2Y_z","Z_early_nonoverlap_2Y_z","Z_verylong_2Y_z","Z_termspread_z"
"Aero",1.39,1.01159368374971,0.34262077497927,0.211272927881702,0.724323771608098,-0.570199872470744,0.33284341077403,-0.235993018712892,0.352861933277374,-0.587271200717464,2.80236011804757,0.97568365343103,-0.384984966263444
"Agric",2.18,-0.0182208908983207,-0.536997465356429,-0.753702746049593,1.53927185343412,-0.717256536111323,-0.118147556494518,-0.347587719790149,1.37689914161249,-0.902413639289573,-0.564886564720259,-0.0921718528359658,-1.36374861452271
"Autos",-4.62,-2.57848176453598,1.88572865512967,-0.453357598646958,-1.2277684615522,-0.844314678575579,-0.949418549386652,2.86946126299299,-1.41998950143667,-0.895266954427671,-1.55416038778705,-0.941457347627772,0.103529606135527
"Banks",-3.11,-1.29025015413075,0.643285278254847,-0.408497211840878,2.05779354317848,-0.11595873131677,-1.57112976463743,-0.279989966456256,0.393366447603003,-0.749437119948244,-0.857910377423656,-0.942502996011581,-0.882353324322678
"Beer",-2.03,0.339647234861966,-1.38895394292984,-0.910700915791867,-0.864955927113427,1.02086171691532,0.829415865911837,-1.246625480334,0.713248253046427,1.036697865705,0.512049720157776,1.06850685963179,0.247125026174676
"BldMt",-4.45,0.938184656288333,0.871767879465851,1.79894048196159,0.228180679321815,1.31716583157587,-0.448364308871619,-0.0164436541101364,-0.418800993490367,0.0471329239643189,0.370972661412121,-0.0392555290399469,0.596434598221147
"Books",0.84,0.683658929820759,-0.0983351128653117,1.3337053824761,0.0639646290111274,0.3440820960178,-0.292510070988792,-0.185479490911612,-0.580819050792881,-0.155282925818831,-0.155114342009074,-0.362709525465164,-0.391016081501087
"Boxes",0.13,-1.12641531935491,0.0625416026137555,0.0315400055012554,0.448969851883817,0.826258190692229,0.0163834836725549,-0.229669504765731,-0.576664741631279,0.430267755737343,-0.117783112231075,-0.00159598129758361,-0.4288313868657
"BusSv",-6.4,-0.172710864086199,0.241423845236182,-0.309010215493254,-0.515116705109338,-0.255285483365897,-0.501505741485121,-0.0956871940984482,-0.643133688216925,-0.44263138617443,0.609261164032153,0.0600606016098481,0.242111248384986
"Chems",-1.24,0.152083610336848,0.218166005917009,0.0545363576258334,0.734421299167263,0.0656397530724604,-0.257012949113006,-0.57271055655533,-0.0594532510117153,0.0218552059577965,-0.979108729855069,-0.398048486986367,0.299106515496938
"Chips",-7.07,-1.59837493351786,1.31502627084809,-0.721719525100638,-2.13094792068151,0.435633095019884,1.02544338702657,0.500519712624598,-0.713756943964175,-0.793802369433382,-0.585419575313981,-1.06129108900732,-0.48129315670458
"Clths",-2.08,-1.72754768951954,0.98002640413553,0.717497890005939,-0.484656352931522,0.871622551364631,-1.00550813193983,0.628486022833034,-1.12191781909166,-0.75885092945773,-0.997466101749493,-0.754171980403738,-0.553367955269357
"Cnstr",-3.31,2.66266961716268,0.771846046234045,2.38122564068736,-0.734197199475055,1.29363333384998,0.243779987227314,0.360542606783835,0.210576844492474,2.20310758079725,1.50609179482241,1.65257328098611,2.31453316688384
"Coal",0.06,-0.0621014397911386,1.52181301492743,0.589582149356933,1.87840347225029,-3.07991548683503,4.18602220986903,3.40414547599036,2.51621842918209,-0.95640226950277,-1.28378338712824,-0.888759098251971,4.63348064105199
"Drugs",-1.28,0.41809673148131,-1.86774719730919,-1.05498575612151,-1.13376731931192,-0.148974251370233,0.310375203848479,-1.19564955168788,0.657165079364788,0.088880608917799,-1.08441925816832,-0.449678368533883,-0.429755424573912
"ElcEq",-5.06,0.561267120997224,0.482349514210738,1.0186360017625,-0.27043686797696,-0.131335880665881,-0.94221552854736,0.408515813705482,-0.838386218812262,-0.199037952360802,-0.43164252875096,-0.441813538937469,-0.552845670488439
"FabPr",4.75,0.806001585899569,0.180620484490313,1.90550446836349,0.603846378758197,-1.51572532320097,-0.370782334564609,1.66468192773214,1.13283347836832,-0.564787696065365,-0.180751969782545,-0.151685428120255,-1.12303607266541
"Fin",-0.35,-0.458057537148311,0.516616760749433,-0.85473005637042,1.04514125694488,-0.386986122511775,-1.25135378920744,-0.24227259947201,0.398559334055006,-0.806976721681577,-0.161705359390544,-0.966097916037143,-0.942951405239481
"Food",-2.05,-0.23389562964146,-1.43200275853094,-0.371279575340774,-0.234572974697373,0.782548630140265,0.707250430609173,-1.34821108324185,0.60212048297355,0.886271257969224,0.262959845524422,0.623869575103784,0.811933844270774
"Fun",-5.83,-0.073819113984075,0.689564833756159,-0.368565426533123,-0.275719650354382,-1.58508103628916,-1.6374115227348,1.6658378389885,0.786987240664879,-0.687235111486161,-0.525712371766949,-0.853518083827791,-0.632336721486408
"Gold",-10.3,3.0473700090286,-2.65575087072413,-1.29114654275899,-0.293850390847815,-1.66581993945713,1.74997972495451,0.684772467866342,0.0662146011267729,4.75671097985459,1.61092954557973,4.14170353465293,0.922907898186076
"Guns",-0.44,2.08304628096366,-2.07491091903543,-0.952528318977741,-0.223447687729336,-0.606355638483352,0.991540097261268,-0.58589922063507,1.83387314938881,0.317632327799555,-0.608267692648368,-0.00427903061931228,0.843459021376137
"Hardw",-3.36,-1.16343227393081,0.635365280830675,-0.109877649686932,-1.02007238314426,0.814111294595284,0.564058499872898,-0.0995422058098674,0.102564806290799,-1.2867457716634,-1.22093716077205,-1.35861517573453,-0.622346027241314
"Hlth",-0.76,0.40418049639834,-0.220304593966324,0.910490723924336,-1.36136533769257,0.0829298393974703,0.7459370561834,0.0660209527397008,-0.327406191935104,-0.117649993634121,0.47294097284058,0.284084863030186,-0.128784383419927
"Hshld",-3.48,0.106778840903235,-0.965066810283629,-0.468347033704488,-0.995234828517526,1.32434368193736,0.634248244147786,-0.961865926733795,-0.679483893380951,0.564615679668809,0.612533120035994,0.473941708389747,0.309874373799466
"Insur",-1.83,-0.833269386977306,-0.50975816290541,-0.931802831551465,0.157902199078592,0.27650297324285,0.29226043981779,-1.03572065961211,1.07882745926748,0.0877412257925687,0.0378219777131259,0.15105269302827,-0.0617769540541397
"LabEq",-3.68,-0.242268539541113,-0.218092880122799,-1.34930113727967,-1.15052755195404,0.181115643960169,-0.263880132462687,-0.188638830974649,-0.605744905762499,-0.515211729379348,-1.00540909461114,-0.802382249673626,-0.670193519631391
